ZZCT,CCCL,LLZH,HHWT,BBBD,MMQM,WWYL
9,8,5,9,7,9,9
8,8,4,9,8,9,8
9,5,7,9,8,7.5,9
7,6,6,9,9,9.5,10
9,6,5,9,8,7.5,9
8,8,6,7,7,7,8
10,10,10,10,10,10,10
9,6,3,9,9,7.5,8
7,7,3,8,9,8.5,9
10,8,7,10,8,10,9
6,7,5,7,7,7,7
8,5,5,7,6,6,8
8,7,6,7,7,8.5,9
9,9,8,9,8.5,8.5,9
10,9,8,9,8,9,9
6,7,3,7,9,9,8
9,8,8,9,8,9,9
8,8,4,8,8.5,9,8
7,7,4,8,9.5,8,7
8,7,6,9,7,8.5,8
10,8,8,9,8.5,9.5,9
8,6,4,7,7.5,9,9
6,7,5,8,6.5,7.5,6
8,5,6,9,7,9,7
7,6,4,8,9,9.5,6
9,7,9,8,8.5,9,8
8,6,6,8,8,8,9
9,5,8,9,9,9,7
10,8,7,8,8.5,9,7
10,9,9,10,8.5,10,9
8,7,6,9,9,10,8